WeekNum,CAP,CaseRange
8,20121,(100-250]
8,20122,(100-250]
8,20123,(100-250]
8,20124,(100-250]
8,20125,(100-250]
8,20126,>250
8,20127,(100-250]
8,20128,(100-250]
8,20129,(100-250]
8,20130,(100-250]
8,20131,(100-250]
8,20132,>250
8,20133,(100-250]
8,20134,(100-250]
8,20135,(100-250]
8,20136,>250
8,20137,(100-250]
8,20138,(100-250]
8,20139,(100-250]
8,20140,(100-250]
8,20141,(100-250]
8,20142,(100-250]
8,20143,(100-250]
8,20144,(100-250]
8,20145,(100-250]
8,20146,(100-250]
8,20147,(100-250]
8,20148,(100-250]
8,20149,(100-250]
8,20150,(100-250]
8,20151,(100-250]
8,20152,(100-250]
8,20153,(100-250]
8,20154,(100-250]
8,20155,(100-250]
8,20156,(100-250]
8,20157,(100-250]
8,20158,(100-250]
8,20159,(100-250]
8,20160,(100-250]
8,20161,(100-250]
8,20162,(100-250]
