WeekNum,Year,CAP,Cases
1,2021,20121,123
1,2021,20122,100
1,2021,20123,91
1,2021,20124,78
1,2021,20125,117
1,2021,20126,83
1,2021,20127,44
1,2021,20128,93
1,2021,20129,148
1,2021,20131,107
1,2021,20132,130
1,2021,20133,108
1,2021,20134,92
1,2021,20135,100
1,2021,20136,59
1,2021,20137,111
1,2021,20138,122
1,2021,20139,103
1,2021,20141,87
1,2021,20142,146
1,2021,20143,151
1,2021,20144,115
1,2021,20145,119
1,2021,20146,134
1,2021,20147,104
1,2021,20148,139
1,2021,20149,102
1,2021,20151,177
1,2021,20152,122
1,2021,20153,133
1,2021,20154,93
1,2021,20155,101
1,2021,20156,126
1,2021,20157,121
1,2021,20158,103
1,2021,20159,131
1,2021,20161,135
1,2021,20162,116
2,2021,20121,100
2,2021,20122,74
2,2021,20123,118
2,2021,20124,86
2,2021,20125,101
2,2021,20126,48
2,2021,20127,71
2,2021,20128,66
2,2021,20129,76
2,2021,20131,51
2,2021,20132,134
2,2021,20133,88
2,2021,20134,66
2,2021,20135,94
2,2021,20136,75
2,2021,20137,27
2,2021,20138,95
2,2021,20139,109
2,2021,20141,81
2,2021,20142,113
2,2021,20143,107
2,2021,20144,107
2,2021,20145,79
2,2021,20146,142
2,2021,20147,96
2,2021,20148,73
2,2021,20149,124
2,2021,20151,99
2,2021,20152,101
2,2021,20153,130
2,2021,20154,119
2,2021,20155,52
2,2021,20156,67
2,2021,20157,102
2,2021,20158,44
2,2021,20159,83
2,2021,20161,82
2,2021,20162,146
3,2021,20121,123
3,2021,20122,111
3,2021,20123,88
3,2021,20124,94
3,2021,20125,90
3,2021,20126,79
3,2021,20127,80
3,2021,20128,114
3,2021,20129,78
3,2021,20131,96
3,2021,20132,127
3,2021,20133,77
3,2021,20134,88
3,2021,20135,74
3,2021,20136,97
3,2021,20137,61
3,2021,20138,93
3,2021,20139,61
3,2021,20141,89
3,2021,20142,98
3,2021,20143,101
3,2021,20144,115
3,2021,20145,89
3,2021,20146,151
3,2021,20147,138
3,2021,20148,73
3,2021,20149,71
3,2021,20151,97
3,2021,20152,96
3,2021,20153,124
3,2021,20154,85
3,2021,20155,56
3,2021,20156,95
3,2021,20157,111
3,2021,20158,91
3,2021,20159,71
3,2021,20161,74
3,2021,20162,62
4,2021,20121,73
4,2021,20122,100
4,2021,20123,158
4,2021,20124,46
4,2021,20125,108
4,2021,20126,132
4,2021,20127,73
4,2021,20128,78
4,2021,20129,74
4,2021,20131,105
4,2021,20132,81
4,2021,20133,82
4,2021,20134,61
4,2021,20135,66
4,2021,20136,108
4,2021,20137,101
4,2021,20138,103
4,2021,20139,73
4,2021,20141,50
4,2021,20142,134
4,2021,20143,110
4,2021,20144,85
4,2021,20145,84
4,2021,20146,83
4,2021,20147,120
4,2021,20148,103
4,2021,20149,80
4,2021,20151,116
4,2021,20152,75
4,2021,20153,95
4,2021,20154,91
4,2021,20155,73
4,2021,20156,75
4,2021,20157,75
4,2021,20158,82
4,2021,20159,73
4,2021,20161,91
4,2021,20162,76
5,2021,20121,91
5,2021,20122,118
5,2021,20123,97
5,2021,20124,94
5,2021,20125,71
5,2021,20126,83
5,2021,20127,89
5,2021,20128,57
5,2021,20129,82
5,2021,20131,105
5,2021,20132,106
5,2021,20133,52
5,2021,20134,105
5,2021,20135,103
5,2021,20136,54
5,2021,20137,88
5,2021,20138,66
5,2021,20139,86
5,2021,20141,85
5,2021,20142,92
5,2021,20143,68
5,2021,20144,85
5,2021,20145,99
5,2021,20146,112
5,2021,20147,84
5,2021,20148,80
5,2021,20149,145
5,2021,20151,116
5,2021,20152,101
5,2021,20153,121
5,2021,20154,122
5,2021,20155,91
5,2021,20156,103
5,2021,20157,94
5,2021,20158,85
5,2021,20159,86
5,2021,20161,114
5,2021,20162,108
6,2021,20121,118
6,2021,20122,125
6,2021,20123,133
6,2021,20124,94
6,2021,20125,78
6,2021,20126,88
6,2021,20127,64
6,2021,20128,108
6,2021,20129,92
6,2021,20131,105
6,2021,20132,120
6,2021,20133,103
6,2021,20134,92
6,2021,20135,114
6,2021,20136,118
6,2021,20137,88
6,2021,20138,109
6,2021,20139,67
6,2021,20141,81
6,2021,20142,155
6,2021,20143,92
6,2021,20144,104
6,2021,20145,84
6,2021,20146,112
6,2021,20147,93
6,2021,20148,82
6,2021,20149,151
6,2021,20151,72
6,2021,20152,119
6,2021,20153,67
6,2021,20154,142
6,2021,20155,101
6,2021,20156,99
6,2021,20157,111
6,2021,20158,106
6,2021,20159,63
6,2021,20161,118
6,2021,20162,97
7,2021,20121,150
7,2021,20122,155
7,2021,20123,109
7,2021,20124,80
7,2021,20125,99
7,2021,20126,162
7,2021,20127,124
7,2021,20128,171
7,2021,20129,134
7,2021,20131,125
7,2021,20132,127
7,2021,20133,99
7,2021,20134,154
7,2021,20135,97
7,2021,20136,91
7,2021,20137,111
7,2021,20138,74
7,2021,20139,115
7,2021,20141,101
7,2021,20142,135
7,2021,20143,89
7,2021,20144,134
7,2021,20145,159
7,2021,20146,111
7,2021,20147,125
7,2021,20148,127
7,2021,20149,145
7,2021,20151,109
7,2021,20152,89
7,2021,20153,146
7,2021,20154,135
7,2021,20155,101
7,2021,20156,83
7,2021,20157,148
7,2021,20158,97
7,2021,20159,134
7,2021,20161,169
7,2021,20162,135
8,2021,20121,200
8,2021,20122,170
8,2021,20123,228
8,2021,20124,115
8,2021,20125,165
8,2021,20126,259
8,2021,20127,119
8,2021,20128,222
8,2021,20129,176
8,2021,20131,163
8,2021,20132,268
8,2021,20133,202
8,2021,20134,149
8,2021,20135,137
8,2021,20136,264
8,2021,20137,145
8,2021,20138,103
8,2021,20139,137
8,2021,20141,171
8,2021,20142,163
8,2021,20143,205
8,2021,20144,252
8,2021,20145,218
8,2021,20146,184
8,2021,20147,236
8,2021,20148,157
8,2021,20149,195
8,2021,20151,154
8,2021,20152,159
8,2021,20153,140
8,2021,20154,119
8,2021,20155,115
8,2021,20156,122
8,2021,20157,240
8,2021,20158,124
8,2021,20159,126
8,2021,20161,231
8,2021,20162,208
9,2021,20121,246
9,2021,20122,229
